Unnamed: 0,Timestamp (UTC),PM2.5 (ug/m3),Temperature (Celsius),Relative Humidity (%)
409,5/15/2023 1:00,3.25,32.5,70.75
410,5/15/2023 2:00,3.0,33.8,67.25
411,5/15/2023 3:00,3.666666667,35.2,63.33333333
412,5/15/2023 4:00,5.0,36.55,59.75
413,5/15/2023 5:00,5.5,38.475,55.25
414,5/15/2023 6:00,6.75,37.85,56.0
415,5/15/2023 7:00,7.0,38.925,53.25
416,5/15/2023 8:00,7.0,39.375,52.75
417,5/15/2023 9:00,6.0,39.35,53.75
418,5/15/2023 10:00,5.75,41.725,49.5
419,5/15/2023 11:00,6.0,40.025,52.5
420,5/15/2023 12:00,9.5,37.5,57.5
421,5/15/2023 13:00,10.0,36.05,60.75
422,5/15/2023 14:00,9.75,35.575,62.0
423,5/15/2023 15:00,8.0,34.575,64.25
424,5/15/2023 16:00,5.25,33.525,66.75
425,5/15/2023 17:00,3.5,33.0,68.5
426,5/15/2023 18:00,3.0,32.7,70.75
427,5/15/2023 19:00,3.0,32.63333333,71.0
428,5/15/2023 20:00,3.0,32.4,71.0
429,5/15/2023 21:00,3.5,32.275,72.0
430,5/15/2023 22:00,4.25,32.125,72.0
431,5/15/2023 23:00,5.75,31.975,72.25
432,5/16/2023 0:00,6.25,32.0,72.75
433,5/16/2023 1:00,7.25,32.825,71.0
434,5/16/2023 2:00,13.25,34.225,67.25
435,5/16/2023 3:00,12.25,35.0,64.5
436,5/16/2023 4:00,11.75,35.65,62.75
437,5/16/2023 5:00,12.75,37.3,58.0
438,5/16/2023 6:00,14.0,38.925,54.75
439,5/16/2023 7:00,14.75,40.425,51.5
440,5/16/2023 8:00,15.0,41.83333333,48.66666667
441,5/16/2023 9:00,18.25,42.175,47.75
442,5/16/2023 10:00,17.0,44.1,45.33333333
443,5/16/2023 11:00,16.25,41.75,52.75
444,5/16/2023 12:00,17.75,39.45,60.25
445,5/16/2023 13:00,28.0,38.45,62.25
446,5/16/2023 14:00,23.5,37.4,64.75
447,5/16/2023 15:00,19.5,36.6,63.5
448,5/16/2023 16:00,22.75,35.875,61.75
449,5/16/2023 17:00,22.75,34.525,64.5
450,5/16/2023 18:00,24.75,33.8,67.0
451,5/16/2023 19:00,25.25,33.375,68.25
452,5/16/2023 20:00,24.75,33.0,69.5
453,5/16/2023 21:00,24.5,32.825,70.0
454,5/16/2023 22:00,24.0,32.775,70.0
455,5/16/2023 23:00,23.25,32.95,70.0
456,5/17/2023 0:00,23.25,32.7,70.25
457,5/17/2023 1:00,23.5,33.075,69.75
458,5/17/2023 2:00,20.75,34.275,67.0
459,5/17/2023 3:00,18.66666667,35.86666667,62.33333333
460,5/17/2023 4:00,18.75,35.325,62.5
461,5/17/2023 5:00,18.33333333,36.9,58.33333333
462,5/17/2023 6:00,17.75,38.2,55.5
463,5/17/2023 7:00,17.0,39.525,51.5
464,5/17/2023 8:00,17.0,40.675,49.0
465,5/17/2023 9:00,17.0,40.775,48.5
466,5/17/2023 10:00,18.25,43.775,46.75
467,5/17/2023 11:00,19.0,41.13333333,55.33333333
468,5/17/2023 12:00,20.25,38.5,61.5
469,5/17/2023 13:00,16.0,37.825,63.75
470,5/17/2023 14:00,15.25,37.35,64.25
471,5/17/2023 15:00,15.75,36.6,64.75
472,5/17/2023 16:00,20.75,35.25,62.25
473,5/17/2023 17:00,22.25,33.85,63.5
474,5/17/2023 18:00,15.75,33.2,67.75
475,5/17/2023 19:00,16.75,33.325,68.25
476,5/17/2023 20:00,20.75,32.9,70.75
477,5/17/2023 21:00,24.0,32.225,72.25
478,5/17/2023 22:00,24.25,32.275,73.25
479,5/17/2023 23:00,24.25,32.175,73.75
480,5/18/2023 0:00,24.75,32.45,73.0
481,5/18/2023 1:00,25.33333333,33.06666667,72.33333333
482,5/18/2023 2:00,23.75,34.075,69.0
483,5/18/2023 3:00,21.0,35.625,63.75
484,5/18/2023 4:00,20.25,37.175,59.5
485,5/18/2023 5:00,20.25,38.8,55.5
486,5/18/2023 6:00,19.66666667,39.7,52.66666667
487,5/18/2023 7:00,19.75,40.575,50.25
488,5/18/2023 8:00,19.25,42.525,48.5
489,5/18/2023 9:00,20.25,42.5,53.0
490,5/18/2023 10:00,21.66666667,39.93333333,58.33333333
491,5/18/2023 11:00,20.66666667,37.2,60.33333333
492,5/18/2023 12:00,23.5,36.575,56.5
493,5/18/2023 13:00,28.0,35.35,62.0
494,5/18/2023 14:00,22.0,35.275,59.5
495,5/18/2023 15:00,18.25,34.75,61.75
496,5/18/2023 16:00,20.75,34.175,65.75
497,5/18/2023 17:00,19.5,33.675,68.25
498,5/18/2023 18:00,17.75,33.3,69.0
499,5/18/2023 19:00,16.0,32.975,70.0
500,5/18/2023 20:00,15.0,32.7,70.25
501,5/18/2023 21:00,14.33333333,32.36666667,71.0
502,5/18/2023 22:00,15.0,32.025,71.75
503,5/18/2023 23:00,18.25,31.875,72.5
504,5/19/2023 0:00,16.5,31.825,72.75
505,5/19/2023 1:00,14.5,32.45,70.75
506,5/19/2023 2:00,,,
507,5/19/2023 3:00,8.5,33.0,67.5
508,5/19/2023 4:00,8.666666667,34.23333333,63.0
509,5/19/2023 5:00,10.75,36.15,59.5
510,5/19/2023 6:00,11.25,37.275,56.5
511,5/19/2023 7:00,12.25,38.5,52.5
512,5/19/2023 8:00,12.5,38.9,51.75
513,5/19/2023 9:00,10.0,39.8,49.5
514,5/19/2023 10:00,8.0,42.3,43.0
515,5/19/2023 11:00,9.0,41.875,43.25
516,5/19/2023 12:00,8.25,37.775,50.75
517,5/19/2023 13:00,9.75,36.2,54.0
518,5/19/2023 14:00,5.75,35.3,57.0
519,5/19/2023 15:00,7.0,34.7,59.5
520,5/19/2023 16:00,8.0,33.875,62.5
521,5/19/2023 17:00,8.0,33.3,65.5
522,5/19/2023 18:00,9.0,32.925,67.5
523,5/19/2023 19:00,8.5,32.7,69.25
524,5/19/2023 20:00,8.0,32.35,70.5
525,5/19/2023 21:00,8.0,32.0,72.0
526,5/19/2023 22:00,8.25,31.8,72.5
527,5/19/2023 23:00,9.5,31.775,72.5
528,5/20/2023 0:00,9.25,31.775,72.5
529,5/20/2023 1:00,10.75,32.55,70.25
530,5/20/2023 2:00,8.25,33.8,67.25
531,5/20/2023 3:00,9.75,35.6,60.75
532,5/20/2023 4:00,11.5,37.225,56.5
533,5/20/2023 5:00,12.66666667,38.66666667,53.33333333
534,5/20/2023 6:00,13.75,40.1,50.25
535,5/20/2023 7:00,15.0,41.325,47.5
536,5/20/2023 8:00,15.0,41.75,47.0
537,5/20/2023 9:00,14.75,40.425,50.25
538,5/20/2023 10:00,13.25,37.725,56.25
539,5/20/2023 11:00,17.25,34.9,66.25
540,5/20/2023 12:00,17.0,34.9,65.0
541,5/20/2023 13:00,17.75,35.025,64.5
542,5/20/2023 14:00,19.5,34.475,66.5
543,5/20/2023 15:00,16.75,34.2,67.0
544,5/20/2023 16:00,16.75,33.875,67.0
